income;sex;mar-stat;age;edu;occup;yrs-BA;mar-dlinc;num-hsld;children;hsld-stat;typ-home;ethnic;lang
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;NA;None;Live with Parents/Family;NA;Hispanic;English
$20,000 to $24,999;Female;Single, never married;45 thru 54;Grad Study;Sales Worker;More than ten years;Not Married;One;None;Rent;Apartment;Black;NA
$25,000 to $29,999;Male;Married;35 thru 44;1 to 3 years of college;Sales Worker;More than ten years;Yes;Two;None;NA;Apartment;Hispanic;English
$25,000 to $29,999;Female;Living together, not married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Rent;Condominium;White;English
$25,000 to $29,999;Male;Living together, not married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$10,000 to $14,999;Male;Single, never married;25 thru 34;Graduated high school;Unemployed;Four to six years;Not Married;Two;None;Rent;Apartment;White;English
$40,000 to $49,999;Male;Divorced or separated;35 thru 44;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;Asian;English
$20,000 to $24,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Apartment;American Indian;English
$30,000 to $39,999;Female;Living together, not married;18 thru 24;1 to 3 years of college;Student, HS or College;Seven to ten years;Yes;Two;None;Own;House;Asian;English
$50,000 to $74,999;Male;NA;18 thru 24;Graduated high school;Student, HS or College;Seven to ten years;Not Married;Three;None;Rent;House;Asian;English
$75,000 or more;Female;Divorced or separated;45 thru 54;Grad Study;Professional/Managerial;More than ten years;Not Married;Three;None;Own;House;White;English
$75,000 or more;Female;Married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;Four to six years;Yes;Two;None;Rent;House;White;NA
$75,000 or more;Male;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;No;Two;None;Own;House;White;NA
$75,000 or more;Male;Married;35 thru 44;Grad Study;Professional/Managerial;Seven to ten years;Yes;Two;None;Own;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Two;None;Live with Parents/Family;House;White;English
$25,000 to $29,999;Male;Married;35 thru 44;1 to 3 years of college;Clerical/Service Worker;Seven to ten years;Yes;Three;One;Own;House;White;NA
$10,000 to $14,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Four;One;Live with Parents/Family;House;White;English
$30,000 to $39,999;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;One to three years;Not Married;Two;None;Rent;Apartment;White;English
$10,000 to $14,999;Female;Single, never married;14 thru 17;Grade 8 or less;Factory Worker/Laborer/Driver;More than ten years;Not Married;Four;Two;Live with Parents/Family;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;Seven to ten years;Not Married;Four;Two;Live with Parents/Family;House;White;English
$50,000 to $74,999;Female;Married;45 thru 54;NA;Clerical/Service Worker;Seven to ten years;Yes;Four;One;Own;Condominium;Black;English
$50,000 to $74,999;Male;Married;35 thru 44;Graduated high school;Professional/Managerial;More than ten years;Yes;Four;One;Own;House;Black;English
$50,000 to $74,999;Male;Married;35 thru 44;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;American Indian;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Four;Two;Live with Parents/Family;Condominium;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;None;Live with Parents/Family;Condominium;Hispanic;English
$50,000 to $74,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Professional/Managerial;One to three years;Not Married;Three;None;Live with Parents/Family;Condominium;White;English
Less than $10,000;Male;NA;14 thru 17;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Three;One;Live with Parents/Family;House;Asian;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;Four to six years;Not Married;Four;Two;Live with Parents/Family;Condominium;Asian;English
$25,000 to $29,999;Male;NA;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;Pacific Islander;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Two;None;Live with Parents/Family;Apartment;White;English
$75,000 or more;Female;Living together, not married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Rent;Condominium;Pacific Islander;English
$25,000 to $29,999;Male;Divorced or separated;18 thru 24;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;One;None;Live with Parents/Family;House;White;English
$75,000 or more;Male;Married;35 thru 44;Grad Study;Professional/Managerial;Seven to ten years;Yes;Four;None;Own;House;White;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Unemployed;More than ten years;Not Married;Three;None;Live with Parents/Family;Apartment;White;NA
Less than $10,000;Male;Living together, not married;18 thru 24;1 to 3 years of college;Student, HS or College;One to three years;Not Married;Two;None;Rent;Apartment;Black;English
$40,000 to $49,999;Male;Divorced or separated;25 thru 34;1 to 3 years of college;Professional/Managerial;One to three years;Not Married;One;None;Rent;Condominium;White;English
$40,000 to $49,999;Female;Divorced or separated;35 thru 44;Graduated high school;Unemployed;Seven to ten years;Not Married;One;None;Rent;House;White;NA
$50,000 to $74,999;Female;Married;35 thru 44;College graduate;Military;Less than one year;Not Married;Three;None;Rent;Condominium;White;NA
$50,000 to $74,999;Female;Widowed;45 thru 54;NA;Retired;More than ten years;Not Married;One;None;Own;House;White;NA
$50,000 to $74,999;Male;Married;35 thru 44;College graduate;Military;More than ten years;Yes;NA;None;Rent;Condominium;White;NA
$50,000 to $74,999;Female;Married;35 thru 44;College graduate;Sales Worker;Seven to ten years;Yes;Two;None;Own;House;White;English
$75,000 or more;Female;Widowed;55 thru 64;Graduated high school;Retired;More than ten years;Not Married;Three;None;Own;Apartment;White;English
$75,000 or more;Female;Married;55 thru 64;College graduate;Retired;More than ten years;Not Married;Two;None;Own;House;White;NA
$40,000 to $49,999;Male;Married;35 thru 44;College graduate;Military;More than ten years;Not Married;Four;One;Rent;House;White;NA
$20,000 to $24,999;Female;Divorced or separated;55 thru 64;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Apartment;White;Other
$30,000 to $39,999;Male;Divorced or separated;65 and Over;Grades 9 to 11;Professional/Managerial;More than ten years;Not Married;Three;One;Rent;Apartment;White;English
$50,000 to $74,999;Male;Married;55 thru 64;Graduated high school;Professional/Managerial;More than ten years;No;Two;None;Own;House;White;English
$40,000 to $49,999;Female;Married;55 thru 64;Graduated high school;Homemaker;More than ten years;No;Four;One;Own;House;White;English
$40,000 to $49,999;Female;Widowed;65 and Over;College graduate;Retired;More than ten years;Not Married;One;None;Own;House;White;English
$75,000 or more;Male;Married;55 thru 64;Grad Study;Professional/Managerial;More than ten years;No;Four;None;Own;House;White;English
$75,000 or more;Female;Married;55 thru 64;Grad Study;Homemaker;More than ten years;Yes;Two;None;Own;Condominium;White;English
$50,000 to $74,999;Female;Married;55 thru 64;College graduate;Homemaker;More than ten years;No;Four;One;Own;House;White;English
$50,000 to $74,999;Male;Widowed;65 and Over;College graduate;Retired;More than ten years;Not Married;One;None;Own;House;White;English
$30,000 to $39,999;Male;Married;55 thru 64;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Two;None;Own;Condominium;Black;English
$40,000 to $49,999;Female;Married;55 thru 64;NA;Homemaker;More than ten years;No;Two;None;Own;House;White;English
$20,000 to $24,999;Female;Married;55 thru 64;Graduated high school;Homemaker;More than ten years;No;Two;None;Own;House;White;English
$10,000 to $14,999;Male;Divorced or separated;45 thru 54;Grades 9 to 11;Retired;More than ten years;Not Married;One;None;Rent;Apartment;Asian;Other
$20,000 to $24,999;Female;Living together, not married;25 thru 34;1 to 3 years of college;Sales Worker;Four to six years;Yes;Two;One;Rent;Apartment;White;English
$50,000 to $74,999;Female;Married;25 thru 34;Graduated high school;Homemaker;More than ten years;No;Three;One;Own;House;White;English
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Three;None;Live with Parents/Family;House;White;NA
$40,000 to $49,999;Female;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Two;One;Rent;House;White;English
$20,000 to $24,999;Male;Married;65 and Over;Graduated high school;Retired;More than ten years;No;Two;None;Own;House;White;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Unemployed;One to three years;Not Married;Two;None;Rent;Apartment;Black;English
$40,000 to $49,999;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Two;None;Rent;Apartment;White;English
$25,000 to $29,999;Female;Married;18 thru 24;Graduated high school;Sales Worker;More than ten years;Yes;Two;None;Rent;Apartment;White;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;NA;None;Rent;Apartment;White;NA
$15,000 to $19,999;Male;Living together, not married;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;Seven to ten years;Not Married;Two;None;Rent;House;White;English
$15,000 to $19,999;Male;Living together, not married;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;Seven to ten years;Not Married;Two;None;Rent;House;Hispanic;English
$30,000 to $39,999;Male;Married;35 thru 44;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;No;Two;None;Rent;House;Hispanic;English
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Military;More than ten years;Not Married;NA;None;Rent;Other;Hispanic;NA
$40,000 to $49,999;Male;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;White;NA
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;House;White;NA
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;House;White;NA
$10,000 to $14,999;Female;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;NA;None;Live with Parents/Family;Condominium;White;English
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;Condominium;White;NA
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;Condominium;White;NA
$25,000 to $29,999;Male;Divorced or separated;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Not Married;One;None;Rent;Apartment;Black;English
$40,000 to $49,999;Male;NA;35 thru 44;Graduated high school;Professional/Managerial;One to three years;Not Married;Two;None;Rent;Apartment;White;NA
$25,000 to $29,999;Female;Living together, not married;35 thru 44;Graduated high school;Sales Worker;One to three years;Not Married;Two;None;Rent;Condominium;Black;English
$20,000 to $24,999;Female;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Two;None;Rent;Apartment;White;NA
$75,000 or more;Male;Married;35 thru 44;College graduate;Professional/Managerial;More than ten years;Yes;Three;One;Own;House;White;English
$40,000 to $49,999;Male;Married;25 thru 34;1 to 3 years of college;Military;More than ten years;Yes;Two;None;Rent;Condominium;White;English
$50,000 to $74,999;Male;Married;55 thru 64;College graduate;Retired;More than ten years;No;Two;None;Own;House;White;English
$30,000 to $39,999;Male;Single, never married;18 thru 24;College graduate;Military;More than ten years;Not Married;Two;None;Live with Parents/Family;NA;White;English
Less than $10,000;Female;Single, never married;14 thru 17;NA;Student, HS or College;More than ten years;Not Married;Six;Four;Live with Parents/Family;House;Hispanic;NA
Less than $10,000;Female;Single, never married;14 thru 17;NA;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;Black;NA
Less than $10,000;Male;Single, never married;14 thru 17;NA;Student, HS or College;More than ten years;Not Married;Three;Two;Live with Parents/Family;House;Black;NA
Less than $10,000;Male;Single, never married;14 thru 17;NA;Student, HS or College;More than ten years;Not Married;Four;Two;Live with Parents/Family;House;White;NA
$10,000 to $14,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;One;None;Rent;NA;White;English
$50,000 to $74,999;Male;Married;55 thru 64;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;NA;House;Black;English
$40,000 to $49,999;Male;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Three;One;Own;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$50,000 to $74,999;Female;Married;45 thru 54;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Rent;Apartment;White;English
$25,000 to $29,999;Male;Divorced or separated;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$15,000 to $19,999;Female;Divorced or separated;35 thru 44;1 to 3 years of college;Sales Worker;More than ten years;Not Married;One;None;Rent;Apartment;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Student, HS or College;Seven to ten years;Not Married;NA;None;Rent;Apartment;White;NA
$25,000 to $29,999;Female;Married;35 thru 44;1 to 3 years of college;Sales Worker;More than ten years;Yes;Four;Two;Own;House;White;English
$20,000 to $24,999;Male;Divorced or separated;35 thru 44;1 to 3 years of college;Clerical/Service Worker;Seven to ten years;Not Married;One;None;Rent;Condominium;American Indian;English
$40,000 to $49,999;Female;Married;45 thru 54;College graduate;Military;More than ten years;Not Married;Three;None;Own;House;White;English
$40,000 to $49,999;Female;Married;45 thru 54;Grad Study;Military;More than ten years;Not Married;Four;One;Own;House;White;English
$50,000 to $74,999;Female;Living together, not married;55 thru 64;College graduate;Retired;Less than one year;No;Two;None;Own;Apartment;White;English
$50,000 to $74,999;Male;Living together, not married;55 thru 64;College graduate;Retired;More than ten years;Not Married;Two;None;Own;House;White;English
$50,000 to $74,999;Female;Married;55 thru 64;College graduate;Retired;More than ten years;No;Four;None;Own;House;White;English
$50,000 to $74,999;Female;Married;55 thru 64;College graduate;Retired;More than ten years;Not Married;Two;None;Own;House;NA;English
$50,000 to $74,999;Male;Living together, not married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Four;One;Rent;Condominium;White;English
$20,000 to $24,999;Male;Single, never married;18 thru 24;College graduate;Clerical/Service Worker;More than ten years;Not Married;Four;One;Rent;Apartment;White;English
$50,000 to $74,999;Male;Married;65 and Over;College graduate;Retired;More than ten years;Not Married;Five;Two;Own;House;White;English
$40,000 to $49,999;Female;Married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Yes;Four;None;Rent;Apartment;White;English
$40,000 to $49,999;Female;Married;45 thru 54;College graduate;Clerical/Service Worker;More than ten years;Yes;Four;None;Own;House;White;English
$50,000 to $74,999;Male;Married;25 thru 34;College graduate;NA;More than ten years;Not Married;NA;None;Own;House;White;English
$50,000 to $74,999;Female;Married;65 and Over;College graduate;Retired;More than ten years;Not Married;Two;None;Own;House;White;English
$75,000 or more;Male;Married;65 and Over;College graduate;Retired;More than ten years;Not Married;Two;None;Own;House;White;English
$40,000 to $49,999;Female;Widowed;65 and Over;College graduate;Retired;More than ten years;Not Married;One;None;Own;House;White;English
$50,000 to $74,999;Male;Married;35 thru 44;1 to 3 years of college;Military;One to three years;Yes;Two;None;Own;House;White;English
$20,000 to $24,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Two;One;Rent;Apartment;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;NA;Seven to ten years;Not Married;Two;One;Live with Parents/Family;Apartment;Black;English
$20,000 to $24,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Professional/Managerial;Less than one year;Not Married;NA;None;Rent;Apartment;White;English
$25,000 to $29,999;Female;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Four;One;Rent;Apartment;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;NA;One to three years;Not Married;Three;None;Live with Parents/Family;House;Hispanic;English
$20,000 to $24,999;Male;Single, never married;25 thru 34;Grad Study;Student, HS or College;More than ten years;Not Married;Six;Three;Rent;Apartment;Black;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Sales Worker;Seven to ten years;Not Married;NA;None;Rent;NA;White;NA
Less than $10,000;Female;Single, never married;25 thru 34;1 to 3 years of college;Unemployed;More than ten years;Not Married;Two;None;Own;Other;White;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Homemaker;More than ten years;Not Married;Two;One;Rent;Apartment;Black;English
$20,000 to $24,999;Male;Living together, not married;18 thru 24;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;Graduated high school;Sales Worker;Seven to ten years;Not Married;Two;None;Rent;Apartment;White;NA
$40,000 to $49,999;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;Black;NA
$25,000 to $29,999;Female;Married;35 thru 44;1 to 3 years of college;Sales Worker;More than ten years;Yes;Two;None;Own;House;Black;NA
$15,000 to $19,999;Female;Widowed;65 and Over;Graduated high school;Retired;More than ten years;Not Married;One;None;Rent;Apartment;White;NA
$20,000 to $24,999;Male;Widowed;65 and Over;Graduated high school;Retired;More than ten years;Not Married;One;None;Rent;Mobile Home;White;NA
$30,000 to $39,999;Male;NA;45 thru 54;College graduate;Professional/Managerial;Seven to ten years;Yes;Three;One;Own;Condominium;White;English
$25,000 to $29,999;Female;NA;45 thru 54;1 to 3 years of college;Clerical/Service Worker;NA;Yes;Four;Two;Own;House;White;English
$30,000 to $39,999;Female;NA;45 thru 54;1 to 3 years of college;Clerical/Service Worker;NA;Yes;Five;Two;Own;House;White;English
$20,000 to $24,999;Female;NA;45 thru 54;College graduate;Professional/Managerial;More than ten years;Yes;Five;Three;Own;Condominium;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Four;Two;Live with Parents/Family;House;White;NA
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Five;Two;Live with Parents/Family;House;White;NA
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Three;None;Live with Parents/Family;House;White;NA
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Four to six years;Not Married;Three;One;Live with Parents/Family;Apartment;White;NA
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Two;One;Live with Parents/Family;Apartment;White;NA
$20,000 to $24,999;Male;NA;25 thru 34;College graduate;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;White;NA
Less than $10,000;Male;NA;25 thru 34;1 to 3 years of college;Unemployed;More than ten years;Not Married;Two;None;Rent;Condominium;White;English
$20,000 to $24,999;Male;NA;25 thru 34;1 to 3 years of college;Military;Seven to ten years;Not Married;One;None;NA;NA;Black;NA
Less than $10,000;Female;Single, never married;14 thru 17;NA;Student, HS or College;Seven to ten years;Not Married;Four;Two;Live with Parents/Family;House;White;NA
$10,000 to $14,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;One;None;Rent;NA;White;English
$20,000 to $24,999;Male;NA;25 thru 34;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;One;None;Live with Parents/Family;NA;Hispanic;NA
$20,000 to $24,999;Male;Single, never married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$40,000 to $49,999;Male;Living together, not married;18 thru 24;College graduate;Clerical/Service Worker;More than ten years;Not Married;Five;One;Own;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;Two;Live with Parents/Family;Apartment;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Military;Less than one year;Not Married;One;None;NA;Other;White;English
$20,000 to $24,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;NA;None;Own;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;Other;White;English
$50,000 to $74,999;Female;Single, never married;18 thru 24;Graduated high school;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;Hispanic;English
$30,000 to $39,999;Female;Married;65 and Over;1 to 3 years of college;Retired;More than ten years;No;Two;None;Own;House;White;English
$30,000 to $39,999;Male;Married;65 and Over;Grades 9 to 11;Retired;More than ten years;No;Two;None;Rent;Apartment;White;English
$30,000 to $39,999;Female;Married;65 and Over;Graduated high school;Homemaker;More than ten years;No;Two;None;Own;Condominium;White;English
$40,000 to $49,999;Female;Divorced or separated;65 and Over;Grad Study;Professional/Managerial;One to three years;Not Married;One;None;Own;Condominium;White;English
$25,000 to $29,999;Male;Married;65 and Over;Graduated high school;Retired;More than ten years;No;Two;None;Rent;House;White;English
Less than $10,000;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;Apartment;American Indian;English
$30,000 to $39,999;Male;Married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Yes;Four;Two;Own;House;Black;English
$30,000 to $39,999;Female;Living together, not married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$25,000 to $29,999;Female;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;Seven to ten years;No;Three;One;Rent;Apartment;White;Other
$25,000 to $29,999;Male;Living together, not married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$15,000 to $19,999;Female;Living together, not married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
Less than $10,000;Female;Married;25 thru 34;Graduated high school;Clerical/Service Worker;More than ten years;Yes;Four;Two;Rent;House;Black;English
$40,000 to $49,999;Female;Married;35 thru 44;College graduate;Homemaker;More than ten years;No;Four;Two;Own;House;White;English
$10,000 to $14,999;Male;Divorced or separated;18 thru 24;Graduated high school;Military;Less than one year;Not Married;One;None;Rent;Apartment;White;English
Less than $10,000;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;Four to six years;Not Married;Four;None;Rent;House;White;English
$25,000 to $29,999;Female;Widowed;65 and Over;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$50,000 to $74,999;Male;Married;55 thru 64;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;Hispanic;English
$30,000 to $39,999;Female;Divorced or separated;45 thru 54;Grad Study;Professional/Managerial;Four to six years;Not Married;Two;One;Rent;Apartment;White;English
$20,000 to $24,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Three;None;Own;House;White;English
$40,000 to $49,999;Female;Married;35 thru 44;Graduated high school;Clerical/Service Worker;More than ten years;Yes;Four;Two;Own;Apartment;Other;English
$10,000 to $14,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Sales Worker;More than ten years;Not Married;One;None;Rent;House;Hispanic;English
Less than $10,000;Male;Single, never married;25 thru 34;College graduate;Unemployed;One to three years;Not Married;Four;None;Rent;Apartment;Pacific Islander;Other
Less than $10,000;Female;Divorced or separated;25 thru 34;Graduated high school;Homemaker;More than ten years;Not Married;Three;Two;Rent;House;American Indian;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Military;One to three years;Not Married;Two;None;Rent;Apartment;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;Seven to ten years;Not Married;Five;Two;Live with Parents/Family;Condominium;Asian;Other
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Six;Four;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;One to three years;Not Married;Five;Two;Live with Parents/Family;NA;Asian;English
$15,000 to $19,999;Male;Single, never married;25 thru 34;Graduated high school;Military;Less than one year;Not Married;NA;None;Rent;Apartment;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Five;Two;Live with Parents/Family;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Three;Two;Live with Parents/Family;Apartment;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;Seven to ten years;Not Married;Four;Two;Live with Parents/Family;House;Asian;Other
$20,000 to $24,999;Male;Single, never married;18 thru 24;Graduated high school;Sales Worker;NA;Not Married;Two;None;Rent;Apartment;White;English
$40,000 to $49,999;Male;Divorced or separated;55 thru 64;Grad Study;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$75,000 or more;Male;Single, never married;18 thru 24;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Eight;Two;Own;House;Hispanic;English
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Sales Worker;NA;Not Married;Three;None;Live with Parents/Family;House;Hispanic;English
$20,000 to $24,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Student, HS or College;One to three years;Not Married;One;None;Rent;Apartment;White;English
$75,000 or more;Male;Single, never married;14 thru 17;Grade 8 or less;Unemployed;Seven to ten years;Not Married;Four;Two;Rent;Other;White;English
$40,000 to $49,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Three;None;Live with Parents/Family;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;Black;English
$25,000 to $29,999;Female;Divorced or separated;55 thru 64;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Five;Three;Own;NA;Black;English
$20,000 to $24,999;Male;Married;55 thru 64;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Yes;Three;None;Own;Condominium;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;One to three years;Not Married;Eight;Six;Live with Parents/Family;House;Pacific Islander;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Eight;Six;Live with Parents/Family;House;Pacific Islander;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;Asian;English
